benchmark_type,write_buffer_size_bytes,write_buffer_size_mb,max_write_buffer_number,min_write_buffer_number_to_merge,iteration,throughput,avg_latency_us
overwrite,134217728,128,2,1,1,0,2.6941
overwrite,268435456,256,2,1,1,0,2.6775
readrandom,268435456,256,2,1,1,0,2.682
fillrandom,134217728,128,2,1,1,0,2.6192
readrandom,536870912,512,2,1,3,0,2.6457
overwrite,536870912,512,2,1,1,0,113.5
fillrandom,134217728,128,2,2,2,0,2.6171
fillrandom,134217728,128,6,3,3,0,127.25
fillrandom,134217728,128,4,3,2,0,95.0
fillrandom,268435456,256,2,1,1,0,2.6313
fillrandom,134217728,128,2,3,2,0,2.6015
fillrandom,134217728,128,4,3,1,0,98.0
fillrandom,268435456,256,2,1,2,0,2.5392
fillrandom,134217728,128,6,2,2,0,2.6351
fillrandom,134217728,128,2,3,3,0,2.4915
readrandom,134217728,128,2,1,3,0,2.6839
fillrandom,536870912,512,2,1,3,0,117.25
fillrandom,134217728,128,4,2,1,0,2.5242
fillrandom,536870912,512,2,1,2,0,135.5
overwrite,67108864,64,2,1,1,0,2.6479
overwrite,134217728,128,2,1,3,0,2.6929
readrandom,536870912,512,2,1,1,0,2.6604
readrandom,16777216,16,2,1,1,0,2.6841
readrandom,536870912,512,2,1,2,0,2.6856
fillrandom,134217728,128,4,1,2,0,2.5458
fillrandom,134217728,128,6,3,1,0,103.75
fillrandom,134217728,128,4,2,3,0,2.6245
fillrandom,134217728,128,2,3,1,0,2.5797
fillrandom,67108864,64,2,1,2,0,2.7683
fillrandom,67108864,64,2,1,3,0,2.7571
fillrandom,67108864,64,2,1,1,0,2.7262
fillrandom,134217728,128,6,1,1,0,2.6762
fillrandom,134217728,128,4,1,1,0,2.6669
fillrandom,16777216,16,2,1,3,0,2.7499
overwrite,67108864,64,2,1,3,0,2.6609
overwrite,16777216,16,2,1,3,0,2.6636
fillrandom,134217728,128,6,3,2,0,101.75
readrandom,16777216,16,2,1,3,0,2.6379
readrandom,67108864,64,2,1,2,0,2.6808
readrandom,67108864,64,2,1,3,0,2.6654
overwrite,268435456,256,2,1,3,0,2.546
fillrandom,134217728,128,2,2,1,0,2.6169
fillrandom,134217728,128,4,3,3,0,99.5
overwrite,67108864,64,2,1,2,0,2.5892
readrandom,134217728,128,2,1,1,0,2.6801
readrandom,134217728,128,2,1,2,0,2.7415
fillrandom,134217728,128,2,2,3,0,2.6107
fillrandom,134217728,128,2,1,3,0,2.6428
readrandom,268435456,256,2,1,2,0,2.6785
overwrite,134217728,128,2,1,2,0,2.7081
fillrandom,134217728,128,6,1,2,0,2.5786
fillrandom,134217728,128,4,2,2,0,2.7158
overwrite,16777216,16,2,1,1,0,2.7437
readrandom,67108864,64,2,1,1,0,2.6721
overwrite,268435456,256,2,1,2,0,2.5322
fillrandom,134217728,128,6,1,3,0,2.7746
fillrandom,536870912,512,2,1,1,0,114.25
fillrandom,134217728,128,6,2,1,0,2.6201
overwrite,16777216,16,2,1,2,0,2.8572
fillrandom,268435456,256,2,1,3,0,2.6543
fillrandom,134217728,128,2,1,2,0,2.6943
fillrandom,16777216,16,2,1,1,0,2.7223
overwrite,536870912,512,2,1,2,0,113.0
fillrandom,134217728,128,4,1,3,0,2.627
fillrandom,134217728,128,6,2,3,0,2.5485
fillrandom,16777216,16,2,1,2,0,2.8264
overwrite,536870912,512,2,1,3,0,106.5
readrandom,16777216,16,2,1,2,0,2.6842
readrandom,268435456,256,2,1,3,0,2.6737
