benchmark_type,write_buffer_size_mb,max_write_buffer_number,min_write_buffer_number_to_merge,throughput_mean,throughput_std,avg_latency_us_mean,avg_latency_us_std
fillrandom,16,2,1,0.0,0.0,2.77,0.05
fillrandom,64,2,1,0.0,0.0,2.75,0.02
fillrandom,128,2,1,0.0,0.0,2.65,0.04
fillrandom,128,2,2,0.0,0.0,2.61,0.0
fillrandom,128,2,3,0.0,0.0,2.56,0.06
fillrandom,128,4,1,0.0,0.0,2.61,0.06
fillrandom,128,4,2,0.0,0.0,2.62,0.1
fillrandom,128,4,3,0.0,0.0,97.5,2.29
fillrandom,128,6,1,0.0,0.0,2.68,0.1
fillrandom,128,6,2,0.0,0.0,2.6,0.05
fillrandom,128,6,3,0.0,0.0,110.92,14.18
fillrandom,256,2,1,0.0,0.0,2.61,0.06
fillrandom,512,2,1,0.0,0.0,122.33,11.5
overwrite,16,2,1,0.0,0.0,2.75,0.1
overwrite,64,2,1,0.0,0.0,2.63,0.04
overwrite,128,2,1,0.0,0.0,2.7,0.01
overwrite,256,2,1,0.0,0.0,2.59,0.08
overwrite,512,2,1,0.0,0.0,111.0,3.91
readrandom,16,2,1,0.0,0.0,2.67,0.03
readrandom,64,2,1,0.0,0.0,2.67,0.01
readrandom,128,2,1,0.0,0.0,2.7,0.03
readrandom,256,2,1,0.0,0.0,2.68,0.0
readrandom,512,2,1,0.0,0.0,2.66,0.02
